x	location	replicate	volume	count	titer(pfu/mL)
ppu	N	1	500	5	10.0
ppu	N	2	500	3	6.0
ppu	N	3	500	1	2.0
ppu	S	1	500	0	0.0
ppu	S	2	500	1	2.0
ppu	S	3	500	3	6.0
sen	N	1	100	10	100.0
sen	N	2	100	8	80.0
sen	N	3	100	5	50.0
sen	S	1	100	16	160.0
sen	S	2	100	15	150.0
sen	S	3	100	12	120.0
eco	N	1	10	25	2500.0
eco	N	2	10	30	3000.0
eco	N	3	10	35	3500.0
eco	S	1	10	60	6000.0
eco	S	2	s	50	5000.0
eco	S	3	10	52	5200.0
ppuRP4+senRP4	N	1	10	7	700.0
ppuRP4+senRP4	N	2	10	4	400.0
ppuRP4+senRP4	N	3	10	13	1300.0
ppuRP4+senRP4	S	1	10	18	1800.0
ppuRP4+senRP4	S	2	10	5	500.0
ppuRP4+senRP4	S	3	10	14	1400.0